X(a.u.) RDys_val RD*X Y(a.u.) RDys_val RD*Y Z(a.u.) RDys_val RD*Z 
-4.535342E+00 1.001404E-02 -4.541710E-02 -4.535342E+00 -3.089454E-19 1.401173E-18 -4.535342E+00 -3.089454E-19 1.401173E-18
-4.346370E+00 1.164683E-02 -5.062143E-02 -4.346370E+00 -3.749416E-19 1.629635E-18 -4.346370E+00 -3.749416E-19 1.629635E-18
-4.157397E+00 1.365554E-02 -5.677150E-02 -4.157397E+00 -4.595893E-19 1.910695E-18 -4.157397E+00 -4.595893E-19 1.910695E-18
-3.968425E+00 1.613990E-02 -6.404999E-02 -3.968425E+00 -5.690696E-19 2.258310E-18 -3.968425E+00 -5.690696E-19 2.258310E-18
-3.779452E+00 1.921120E-02 -7.260780E-02 -3.779452E+00 -7.112268E-19 2.688048E-18 -3.779452E+00 -7.112268E-19 2.688048E-18
-3.590479E+00 2.298623E-02 -8.253159E-02 -3.590479E+00 -8.957728E-19 3.216254E-18 -3.590479E+00 -8.957728E-19 3.216254E-18
-3.401507E+00 2.758063E-02 -9.381572E-02 -3.401507E+00 -1.134529E-18 3.859107E-18 -3.401507E+00 -1.134529E-18 3.859107E-18
-3.212534E+00 3.310602E-02 -1.063542E-01 -3.212534E+00 -1.441922E-18 4.632223E-18 -3.212534E+00 -1.441922E-18 4.632223E-18
-3.023562E+00 3.968021E-02 -1.199756E-01 -3.023562E+00 -1.836275E-18 5.552090E-18 -3.023562E+00 -1.836275E-18 5.552090E-18
-2.834589E+00 4.746449E-02 -1.345423E-01 -2.834589E+00 -2.342941E-18 6.641273E-18 -2.834589E+00 -2.342941E-18 6.641273E-18
-2.645616E+00 5.674239E-02 -1.501186E-01 -2.645616E+00 -3.000981E-18 7.939445E-18 -2.645616E+00 -3.000981E-18 7.939445E-18
-2.456644E+00 6.804325E-02 -1.671580E-01 -2.456644E+00 -3.875479E-18 9.520672E-18 -2.456644E+00 -3.875479E-18 9.520672E-18
-2.267671E+00 8.228003E-02 -1.865840E-01 -2.267671E+00 -5.076880E-18 1.151269E-17 -2.267671E+00 -5.076880E-18 1.151269E-17
-2.078699E+00 1.008159E-01 -2.095658E-01 -2.078699E+00 -6.786096E-18 1.410625E-17 -2.078699E+00 -6.786096E-18 1.410625E-17
-1.889726E+00 1.253348E-01 -2.368484E-01 -1.889726E+00 -9.280158E-18 1.753696E-17 -1.889726E+00 -9.280158E-18 1.753696E-17
-1.700753E+00 1.574878E-01 -2.678478E-01 -1.700753E+00 -1.295651E-17 2.203583E-17 -1.700753E+00 -1.295651E-17 2.203583E-17
-1.511781E+00 1.987197E-01 -3.004206E-01 -1.511781E+00 -1.839224E-17 2.780504E-17 -1.511781E+00 -1.839224E-17 2.780504E-17
-1.322808E+00 2.513296E-01 -3.324609E-01 -1.322808E+00 -2.658455E-17 3.516627E-17 -1.322808E+00 -2.658455E-17 3.516627E-17
