Energy=0.100000 eV
theta,rad   sq_contrib(lm)   cross_contrib(lml’m)   total_PAD
      1.099557      2.631544E-01      1.223616E-02      2.753905E-01
      1.130973      2.630813E-01      1.462320E-02      2.777045E-01
      1.162389      2.630119E-01      1.688927E-02      2.799011E-01
      1.193805      2.629464E-01      1.902543E-02      2.819719E-01
      1.225221      2.628852E-01      2.102324E-02      2.839085E-01
      1.256637      2.628285E-01      2.287482E-02      2.857033E-01
      1.288053      2.627765E-01      2.457286E-02      2.873494E-01
      1.319469      2.627294E-01      2.611067E-02      2.888401E-01
      1.350885      2.626874E-01      2.748216E-02      2.901696E-01
      1.382301      2.626507E-01      2.868194E-02      2.913326E-01
      1.413717      2.626193E-01      2.970526E-02      2.923246E-01
      1.445133      2.625935E-01      3.054809E-02      2.931416E-01
      1.476549      2.625733E-01      3.120709E-02      2.937804E-01
      1.507964      2.625588E-01      3.167968E-02      2.942385E-01
      1.539380      2.625501E-01      3.196398E-02      2.945141E-01
      1.570796      2.625472E-01      3.205887E-02      2.946061E-01
      1.602212      2.625501E-01      3.196398E-02      2.945141E-01
      1.633628      2.625588E-01      3.167968E-02      2.942385E-01
      1.665044      2.625733E-01      3.120709E-02      2.937804E-01
      1.696460      2.625935E-01      3.054809E-02      2.931416E-01
      1.727876      2.626193E-01      2.970526E-02      2.923246E-01
      1.759292      2.626507E-01      2.868194E-02      2.913326E-01
      1.790708      2.626874E-01      2.748216E-02      2.901696E-01
      1.822124      2.627294E-01      2.611067E-02      2.888401E-01
      1.853540      2.627765E-01      2.457286E-02      2.873494E-01
      1.884956      2.628285E-01      2.287482E-02      2.857033E-01
      1.916372      2.628852E-01      2.102324E-02      2.839085E-01
      1.947787      2.629464E-01      1.902543E-02      2.819719E-01
      1.979203      2.630119E-01      1.688927E-02      2.799011E-01
      2.010619      2.630813E-01      1.462320E-02      2.777045E-01
      2.042035      2.631544E-01      1.223616E-02      2.753905E-01
      2.073451      2.632309E-01      9.737567E-03      2.729685E-01
      2.104867      2.633106E-01      7.137282E-03      2.704478E-01
      2.136283      2.633930E-01      4.445569E-03      2.678386E-01
